# source, target, count
0,40,1
94,34,1
95,12,1
95,39,1
96,55,1
96,64,1
97,62,1
98,15,6
98,20,1
98,40,2
99,12,1
99,39,1
100,34,1
101,39,1
102,15,2
102,28,1
103,15,1
103,62,1
103,66,1
104,48,1
104,60,1
105,41,1
105,85,1
106,85,1
107,34,1
107,81,1
108,39,1
108,60,1
109,7,1
109,39,1
109,62,2
109,65,2
109,81,1
110,10,3
110,50,1
111,34,1
111,41,1
112,31,5
112,44,1
113,44,1
113,64,1
114,87,1
114,88,1
115,57,3
116,40,11
116,41,9
117,10,1
117,41,2
118,73,1
119,12,1
119,31,2
119,34,8
119,39,3
119,81,2
119,85,1
120,34,1
121,12,1
121,34,1
121,88,2
122,12,1
122,18,1
122,34,1
122,50,1
123,27,1
124,81,2
124,91,1
125,12,1
125,31,3
125,34,1
125,39,1
125,68,2
125,81,1
126,90,11
127,90,1
128,40,9
128,41,1
129,62,1
130,41,1
131,55,1
132,12,2
132,53,3
132,90,1
133,28,1
133,88,1
134,53,2
135,39,1
136,12,1
137,28,1
137,34,4
137,39,1
137,44,1
138,22,1
138,44,1
139,22,1
139,53,2
139,78,2
140,88,1
141,12,12
141,39,2
141,41,1
142,12,1
143,12,1
143,53,3
143,55,1
144,12,1
144,27,1
144,34,6
144,39,1
144,44,3
144,73,1
144,85,2
145,34,2
146,12,1
147,12,106
147,34,1
147,39,5
148,12,2
148,34,1
149,73,1
150,12,1
150,73,1
151,12,1
152,39,1
153,28,1
154,12,1
155,73,1
156,41,5
156,57,1
157,66,1
158,12,2
159,12,1
160,12,1
160,81,2
160,85,3
160,90,3
160,91,5
161,85,1
162,22,2
162,24,1
162,28,4
162,38,3
162,40,1
162,41,9
162,54,1
162,64,34
162,66,6
162,83,2
162,90,1
163,22,11
163,40,3
163,64,2
163,66,1
163,90,1
164,73,1
165,12,1
166,12,1
167,12,1
168,12,1
169,12,1
170,12,1
171,39,1
172,12,1
173,12,1
174,12,1
175,62,1
176,60,1
177,41,1
178,15,1
179,10,1
179,41,1
180,10,1
181,31,1
182,12,1
182,87,1
183,40,3
184,28,1
185,2,1
185,30,1
185,79,1
186,38,1
186,48,1
187,41,1
188,62,2
189,12,1
190,12,1
191,90,1
192,48,1
193,15,1
193,41,1
193,78,4
194,3,1
194,9,1
194,10,1
194,19,1
194,22,1
194,28,3
194,31,4
194,40,13
194,41,6
194,46,1
194,54,1
194,66,5
194,89,2
194,90,6
195,65,1
196,4,1
196,5,1
196,6,7
196,23,6
196,24,29
196,27,1
196,31,2
196,32,1
196,38,2
196,40,3
196,41,1
196,42,1
196,43,8
196,46,1
196,47,2
196,54,1
196,55,1
196,59,1
196,63,2
196,69,1
196,74,1
196,79,1
196,82,1
196,90,6
196,93,1
197,20,1
197,27,1
197,38,2
197,44,1
197,61,1
197,72,1
197,79,2
197,90,3
198,3,1
198,15,1
198,19,1
198,20,1
198,24,19
198,25,1
198,26,1
198,36,1
198,37,1
198,40,1
198,41,1
198,43,1
198,46,2
198,47,4
198,58,1
198,61,1
198,63,1
198,64,17
198,69,1
198,71,1
198,72,1
198,76,1
198,84,1
198,90,1
198,93,1
199,27,4
199,33,1
199,61,2
199,87,2
199,89,1
200,64,1
201,10,1
202,19,1
203,10,1
204,65,1
205,85,1
206,64,1
207,61,1
208,7,1
209,12,1
210,10,1
211,85,1
212,44,1
213,8,1
214,28,1
215,57,1
216,60,1
217,12,1
218,39,1
219,34,1
220,36,1
221,12,1
222,70,1
223,12,2
224,41,1
224,54,1
225,12,1
226,85,1
227,10,1
227,15,1
228,12,1
228,91,1
229,34,1
230,34,1
231,64,1
232,14,1
232,41,1
233,41,1
234,60,1
